property_id,suburb,postcode,address,sale_price ($),sale_date,property_type,bedrooms,bathrooms,car_spaces,Storeys,Study,land_size_m2,building_size_m2,year_built,auction_sale,days_on_market,distance_to_cbd_km,distance_to_station_km,distance_to_school_km,distance_to_shops_km,pool,renovated,water_view,Garden,property_condition,listing_agency,source_url
151189284,Mosman,2088,"142/15 Hale Road, Mosman, NSW 2088","$3,800,000",24/07/2026,House,3,2,2,2,Yes,6243,,,No,,0.05,,0.15,,No,,,No,,RayWhite,https://www.realestate.com.au/sold/property-retirement+living-nsw-mosman-151189284
151449168,Mosman,2088,"8/6 Punch Street, Mosman, NSW 2088","$700,000",20/07/2026,Unit,1,1,2,2,No,1021,,,No,,0.33,,0.36,,No,,,No,,RayWhite,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151449168?cid=pdp:recent-sales
150195184,Mosman,2088,"5 Botanic Road, Mosman, NSW 2088","$8,700,000",22/07/2026,House,4,3,2,3,Yes,437,,,No,,0.54,,0.46,,Yes,,,No,,Simeon Partner ,https://www.realestate.com.au/sold/property-house-nsw-mosman-150195184
151472668,Mosman,2088,"4/3 Millett Road, Mosman, NSW 2088","$1,050,000",16/07/2026,Unit,2,1,1,2,No,900,,,,,0.10,,0.40,,No,,,Yes,,Vermon Partners,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151472668
151578736,Mosman,2088,"20/96 Ourimbah Road, Mosman, NSW 2088","$1,030,000",07/07/2026,Unit,2,1,1,7,No,2003,72,1966,,,0.22,,0.12,,No,,,No,,Pello - Lower North Shore,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151578736
151263404,Mosman,2088,"22/96 Ourimbah Road, Mosman, NSW 2088","$1,025,000",03/07/2026,Unit,2,1,1,7,No,2003,102,1966,,,0.22,,0.12,,No,,,No,,Richardson & Wrench,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151263404
151376824,Mosman,2088,"5B/699 Military Road, Mosman, NSW 2088","$1,045,000",17/07/2026,Unit,2,1,1,,No,1157,101,,,,0.09,,0.27,,,,,Yes,,Astemi Property,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151376824
151124468,Mosman,2088,"105 Holt Avenue, Mosman, NSW 2088","$3,550,000",05/06/2026,House,4,3,0,,Yes,,,,,,,,0.34,,No,,,No,,Pello - Lower North Shore,https://www.realestate.com.au/sold/property-house-nsw-mosman-151124468
150415760,Mosman,2088,"96 Glover Street, Mosman, NSW 2088","$3,390,000",02/06/2026,House,4,3,2,2,Yes,397,,,,,0.03,,0.56,,,,,Yes,,De Brennan Property,https://www.realestate.com.au/sold/property-house-nsw-mosman-150415760
151336940,Mosman,2088,"17/22 Mosman Street, Mosman, NSW 2088","$827,000",01/06/2026,Unit,1,1,1,12,,1767,,,,,,,0.60,,,,,,,DiJones - Neaural Bay,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151336940
150833828,Mosman,2088,"32B/2 Brady Street, Mosman, NSW 2088","$2,000,000",19/05/2026,Unit,2,2,2,,,8882,154,,,,0.49,,0.35,,,,,Yes,,Belle Property,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150833828
149969460,Mosman,2088,"7/8 Earl Street, Mosman, NSW 2088","$3,000,000",15/05/2026,Unit,3,2,2,5,,156,156,,,,0.28,,0.14,,,,,,,McGrath Lower North Shore,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149969460
149426508,Mosman,2088,"32/419-445 Military Road, Mosman, NSW 2088","$1,100,000",01/05/2026,Unit,2,1,1,,,,,,,,0.16,,0.13,,,,,,,Murphy Residency,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149426508
150194672,Mosman,2088,"8A Bickell Road, Mosman, NSW 2088","$5,050,000",17/04/2026,House,5,3,2,,,746,240,,,,0.99,,0.60,,,,,,,De Brennan Property,https://www.realestate.com.au/sold/property-house-nsw-mosman-150194672
150616400,Mosman,2088,"9/237 Raglan Street, Mosman, NSW 2088","$1,500,000",16/04/2026,Unit,1,1,1,4,,553,37,1965,,,,,0.22,,,,,,,Simeon Partner ,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150616400
149396024,Mosman,2088,"11/1A Queen Street, Mosman, NSW 2088","$1,325,000",16/04/2026,Unit,2,1,1,4,,1475,,1976,,,0.06,,0.07,,,,,,,Pello - Lower North Shore,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149396024
150578600,Mosman,2088,"14 Erith Street, Mosman, NSW 2088","$5,300,000",11/04/2026,House,4,3,1,2,Yes,613,162,,,,0.14,,0.28,,Yes,,,Yes,,Pello - Lower North Shore,https://www.realestate.com.au/sold/property-house-nsw-mosman-150578600
150578988,Mosman,2088,"130 Cowles Road, Mosman, NSW 2088","$4,200,000",11/04/2026,House,5,2,1,2,Yes,412,190,,,,0.50,,0.44,,,,,,,Pello - Lower North Shore,https://www.realestate.com.au/sold/property-house-nsw-mosman-150578988
150698636,Mosman,2088,"28/182 Raglan Street, Mosman, NSW 2088","$1,800,000",04/04/2026,Unit,2,1,1,11,,1600,,,,,0.11,,0.30,,,,,,,Pello - Lower North Shore,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150698636
150576004,Mosman,2088,"8/4 Mandolong Road, Mosman, NSW 2088","$1,405,000",01/04/2026,Unit,2,1,1,,,,,,,,0.18,,0.42,,,,,,,Murphy Residency,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150576004
150084608,Mosman,2088,"34 Rickard Avenue, Mosman, NSW 2088","$9,000,000",27/03/2026,House,7,3,2,,Yes,721,,,,,0.86,,0.67,,Yes,,,Yes,,Simeon Partner ,https://www.realestate.com.au/sold/property-house-nsw-mosman-150084608
150397796,Mosman,2088,"10 Cyprian Street, Mosman, NSW 2088","$8,500,000",27/03/2026,House,4,3,2,,Yes,556,,,,,0.37,,0.45,,Yes,,,Yes,,De Brennan Property,https://www.realestate.com.au/sold/property-house-nsw-mosman-150397796
149969284,Mosman,2088,"2/732 Military Road, Mosman, NSW 2088","$1,050,000",27/03/2026,Unit,1,1,1,2,,80,,,,,0.14,,0.37,,,,,,,McGrath Lower North Shore,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149969284
149519784,Mosman,2088,"29 Pearl Bay Avenue, Mosman, NSW 2088","$7,198,000",20/03/2026,House,4,3,3,3,Yes,658,,,,,0.51,,0.27,,Yes,,,Yes,,Simeon Partner ,https://www.realestate.com.au/sold/property-house-nsw-mosman-149519784
150255660,Mosman,2088,"15/98 Ourimbah Road, Mosman, NSW 2088","$1,040,000",12/03/2026,Unit,2,1,1,4,Yes,74,,,,,0.15,,0.04,,,,,Yes,,Laing & Simmons,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150255660 
150487400,Mosman,2088,"7/10 Raglan Street, Mosman, NSW 2088","$710,000",11/03/2026,Unit,1,1,0,5,,536,,,,,1.15,,1.24,,,,,Yes,,RayWhite,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150487400
150200956,Mosman,2088,"31 Ryrie Street, Mosman, NSW 2088","$3,900,000",07/03/2026,House,5,3,2,,Yes,624,,,,,1.28,,0.29,,,,,Yes,,Murphy Residency,https://www.realestate.com.au/sold/property-house-nsw-mosman-150200956
150282916,Mosman,2088,"16/182 Raglan Street, Mosman, NSW 2088","$1,610,000",07/03/2026,Unit,2,1,1,11,,1600,,,,,0.11,,0.30,,,,,,,Belle Property,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150282916
